"species","genus","family"
"Equisetum hyemale","Equisetum","Equisetaceae"
"Equisetum palustre","Equisetum","Equisetaceae"
"Equisetum ramosissimum","Equisetum","Equisetaceae"
"Equisetum sylvaticum","Equisetum","Equisetaceae"
"Equisetum telmateia","Equisetum","Equisetaceae"
"Equisetum variegatum","Equisetum","Equisetaceae"
"Eragrostis barrelieri","Eragrostis","Poaceae"
"Eragrostis cilianensis","Eragrostis","Poaceae"
"Eragrostis curvula","Eragrostis","Poaceae"
"Eragrostis diffusa","Eragrostis","Poaceae"
"Eragrostis mexicana","Eragrostis","Poaceae"
"Eragrostis minor","Eragrostis","Poaceae"
"Eragrostis multicaulis","Eragrostis","Poaceae"
"Eragrostis orcuttiana","Eragrostis","Poaceae"
"Eragrostis pectinacea","Eragrostis","Poaceae"
"Eragrostis pilosa","Eragrostis","Poaceae"
"Eragrostis tephrosanthos","Eragrostis","Poaceae"
"Eragrostis virescens","Eragrostis","Poaceae"
"Eranthis hyemalis","Eranthis","Ranunculaceae"
"Erica arborea","Erica","Ericaceae"
"Erica carnea","Erica","Ericaceae"
"Erica ciliaris","Erica","Ericaceae"
"Erica cinerea","Erica","Ericaceae"
"Erica erigena","Erica","Ericaceae"
"Erica lusitanica","Erica","Ericaceae"
"Erica multiflora","Erica","Ericaceae"
"Erica scoparia","Erica","Ericaceae"
"Erica terminalis","Erica","Ericaceae"
"Erica tetralix","Erica","Ericaceae"
"Erica vagans","Erica","Ericaceae"
"Erigeron acris","Erigeron","Asteraceae"
"Erigeron alpinus","Erigeron","Asteraceae"
"Erigeron annuus","Erigeron","Asteraceae"
"Erigeron atticus","Erigeron","Asteraceae"
"Erigeron blakei","Erigeron","Asteraceae"
"Erigeron bonariensis","Erigeron","Asteraceae"
"Erigeron canadensis","Erigeron","Asteraceae"
"Erigeron floribundus","Erigeron","Asteraceae"
"Erigeron glabratus","Erigeron","Asteraceae"
"Erigeron karvinskianus","Erigeron","Asteraceae"
"Erigeron neglectus","Erigeron","Asteraceae"
"Erigeron paolii","Erigeron","Asteraceae"
"Erigeron schleicheri","Erigeron","Asteraceae"
"Erigeron sumatrensis","Erigeron","Asteraceae"
"Erigeron uniflorus","Erigeron","Asteraceae"
"Erinacea anthyllis","Erinacea","Fabaceae"
"Erinus alpinus","Erinus","Plantaginaceae"
"Eriobotrya japonica","Eriobotrya","Rosaceae"
"Eriophorum angustifolium","Eriophorum","Cyperaceae"
"Eriophorum gracile","Eriophorum","Cyperaceae"
"Eriophorum latifolium","Eriophorum","Cyperaceae"
"Eriophorum scheuchzeri","Eriophorum","Cyperaceae"
"Eriophorum vaginatum","Eriophorum","Cyperaceae"
"Eritrichium nanum","Eritrichium","Boraginaceae"
"Erodium acaule","Erodium","Geraniaceae"
"Erodium botrys","Erodium","Geraniaceae"
"Erodium chium","Erodium","Geraniaceae"
"Erodium ciconium","Erodium","Geraniaceae"
"Erodium cicutarium","Erodium","Geraniaceae"
"Erodium corsicum","Erodium","Geraniaceae"
"Erodium foetidum","Erodium","Geraniaceae"
"Erodium glandulosum","Erodium","Geraniaceae"
"Erodium laciniatum","Erodium","Geraniaceae"
"Erodium lebelii","Erodium","Geraniaceae"
"Erodium rupestre","Erodium","Geraniaceae"
"Erodium malacoides","Erodium","Geraniaceae"
"Erodium manescavii","Erodium","Geraniaceae"
"Erodium maritimum","Erodium","Geraniaceae"
"Erodium moschatum","Erodium","Geraniaceae"
"Erodium rodiei","Erodium","Geraniaceae"
"Erodium salzmannii","Erodium","Geraniaceae"
"Erucastrum gallicum","Erucastrum","Brassicaceae"
"Erucastrum nasturtiifolium","Erucastrum","Brassicaceae"
"Erucastrum supinum","Erucastrum","Brassicaceae"
"Eruca vesicaria","Eruca","Brassicaceae"
"Ervilia monanthos","Ervilia","Fabaceae"
"Ervilia hirsuta","Ervilia","Fabaceae"
"Ervilia loiseleurii","Ervilia","Fabaceae"
"Ervilia sativa","Ervilia","Fabaceae"
"Ervilia sylvatica","Ervilia","Fabaceae"
"Ervum gracile","Ervum","Fabaceae"
"Ervum pubescens","Ervum","Fabaceae"
"Ervum tetraspermum","Ervum","Fabaceae"
"Eryngium alpinum","Eryngium","Apiaceae"
"Eryngium bourgatii","Eryngium","Apiaceae"
"Eryngium campestre","Eryngium","Apiaceae"
"Eryngium creticum","Eryngium","Apiaceae"
"Eryngium maritimum","Eryngium","Apiaceae"
"Eryngium planum","Eryngium","Apiaceae"
"Eryngium pusillum","Eryngium","Apiaceae"
"Eryngium spinalba","Eryngium","Apiaceae"
"Eryngium tricuspidatum","Eryngium","Apiaceae"
"Eryngium triquetrum","Eryngium","Apiaceae"
"Eryngium viviparum","Eryngium","Apiaceae"
"Erysimum cheiranthoides","Erysimum","Brassicaceae"
"Erysimum cheiri","Erysimum","Brassicaceae"
"Erysimum duriaei","Erysimum","Brassicaceae"
"Erysimum incanum","Erysimum","Brassicaceae"
"Erysimum jugicola","Erysimum","Brassicaceae"
"Erysimum montosicola","Erysimum","Brassicaceae"
"Erysimum nevadense","Erysimum","Brassicaceae"
"Erysimum ochroleucum","Erysimum","Brassicaceae"
"Erysimum odoratum","Erysimum","Brassicaceae"
"Erysimum repandum","Erysimum","Brassicaceae"
"Erysimum rhaeticum","Erysimum","Brassicaceae"
"Erysimum virgatum","Erysimum","Brassicaceae"
"Erythranthe guttata","Erythranthe","Phrymaceae"
"Erythranthe moschata","Erythranthe","Phrymaceae"
"Erythronium dens-canis","Erythronium","Liliaceae"
"Escallonia rubra","Escallonia","Escalloniaceae"
"Eschscholzia californica","Eschscholzia","Papaveraceae"
"Eucalyptus camaldulensis","Eucalyptus","Myrtaceae"
"Eucalyptus cinerea","Eucalyptus","Myrtaceae"
"Eucalyptus delegatensis","Eucalyptus","Myrtaceae"
"Eucalyptus robusta","Eucalyptus","Myrtaceae"
"Eucalyptus sideroxylon","Eucalyptus","Myrtaceae"
"Eucalyptus viminalis","Eucalyptus","Myrtaceae"
"Litwinowia tenuissima","Litwinowia","Brassicaceae"
"Eudianthe coelirosa","Eudianthe","Caryophyllaceae"
"Eudianthe laeta","Eudianthe","Caryophyllaceae"
"Euonymus europaeus","Euonymus","Celastraceae"
"Euonymus japonicus","Euonymus","Celastraceae"
"Euonymus latifolius","Euonymus","Celastraceae"
"Eupatorium cannabinum","Eupatorium","Asteraceae"
"Euphorbia aleppica","Euphorbia","Euphorbiaceae"
"Euphorbia amygdaloides","Euphorbia","Euphorbiaceae"
"Euphorbia angulata","Euphorbia","Euphorbiaceae"
"Euphorbia biumbellata","Euphorbia","Euphorbiaceae"
"Euphorbia canutii","Euphorbia","Euphorbiaceae"
"Euphorbia chamaesyce","Euphorbia","Euphorbiaceae"
"Euphorbia characias","Euphorbia","Euphorbiaceae"
"Euphorbia corsica","Euphorbia","Euphorbiaceae"
"Euphorbia cuneifolia","Euphorbia","Euphorbiaceae"
"Euphorbia cyparissias","Euphorbia","Euphorbiaceae"
"Euphorbia davidii","Euphorbia","Euphorbiaceae"
"Euphorbia dendroides","Euphorbia","Euphorbiaceae"
"Euphorbia dulcis","Euphorbia","Euphorbiaceae"
"Euphorbia duvalii","Euphorbia","Euphorbiaceae"
"Euphorbia esula","Euphorbia","Euphorbiaceae"
"Euphorbia exigua","Euphorbia","Euphorbiaceae"
"Euphorbia falcata","Euphorbia","Euphorbiaceae"
"Euphorbia flavicoma","Euphorbia","Euphorbiaceae"
"Euphorbia gayi","Euphorbia","Euphorbiaceae"
"Euphorbia glyptosperma","Euphorbia","Euphorbiaceae"
"Euphorbia graminifolia","Euphorbia","Euphorbiaceae"
"Euphorbia helioscopia","Euphorbia","Euphorbiaceae"
"Euphorbia hirsuta","Euphorbia","Euphorbiaceae"
"Euphorbia humifusa","Euphorbia","Euphorbiaceae"
"Euphorbia hyberna","Euphorbia","Euphorbiaceae"
"Euphorbia illirica","Euphorbia","Euphorbiaceae"
"Euphorbia insularis","Euphorbia","Euphorbiaceae"
"Euphorbia lathyris","Euphorbia","Euphorbiaceae"
"Euphorbia loreyi","Euphorbia","Euphorbiaceae"
"Euphorbia maculata","Euphorbia","Euphorbiaceae"
"Euphorbia marginata","Euphorbia","Euphorbiaceae"
"Euphorbia nicaeensis","Euphorbia","Euphorbiaceae"
"Euphorbia nutans","Euphorbia","Euphorbiaceae"
"Euphorbia palustris","Euphorbia","Euphorbiaceae"
"Euphorbia paralias","Euphorbia","Euphorbiaceae"
"Euphorbia peplis","Euphorbia","Euphorbiaceae"
"Euphorbia peplus","Euphorbia","Euphorbiaceae"
"Euphorbia pithyusa","Euphorbia","Euphorbiaceae"
"Euphorbia platyphyllos","Euphorbia","Euphorbiaceae"
"Euphorbia polygonifolia","Euphorbia","Euphorbiaceae"
"Euphorbia prostrata","Euphorbia","Euphorbiaceae"
"Euphorbia pterococca","Euphorbia","Euphorbiaceae"
"Euphorbia pyrenaica","Euphorbia","Euphorbiaceae"
"Euphorbia segetalis","Euphorbia","Euphorbiaceae"
"Euphorbia seguieriana","Euphorbia","Euphorbiaceae"
"Euphorbia serpens","Euphorbia","Euphorbiaceae"
"Euphorbia serrata","Euphorbia","Euphorbiaceae"
"Euphorbia spinosa","Euphorbia","Euphorbiaceae"
"Euphorbia stricta","Euphorbia","Euphorbiaceae"
"Euphorbia sulcata","Euphorbia","Euphorbiaceae"
"Euphorbia taurinensis","Euphorbia","Euphorbiaceae"
"Euphorbia terracina","Euphorbia","Euphorbiaceae"
"Euphorbia vallinoana","Euphorbia","Euphorbiaceae"
"Euphrasia alpina","Euphrasia","Orobanchaceae"
"Euphrasia nemorosa","Euphrasia","Orobanchaceae"
"Euphrasia hirtella","Euphrasia","Orobanchaceae"
"Euphrasia micrantha","Euphrasia","Orobanchaceae"
"Euphrasia minima","Euphrasia","Orobanchaceae"
"Euphrasia nana","Euphrasia","Orobanchaceae"
"Euphrasia officinalis","Euphrasia","Orobanchaceae"
"Euphrasia pectinata","Euphrasia","Orobanchaceae"
"Euphrasia salisburgensis","Euphrasia","Orobanchaceae"
"Euphrasia stricta","Euphrasia","Orobanchaceae"
"Euphrasia tetraquetra","Euphrasia","Orobanchaceae"
"Euthamia graminifolia","Euthamia","Asteraceae"
"Exaculum pusillum","Exaculum","Gentianaceae"
"Fagopyrum cymosum","Fagopyrum","Polygonaceae"
"Fagopyrum esculentum","Fagopyrum","Polygonaceae"
"Fagopyrum tataricum","Fagopyrum","Polygonaceae"
"Fagus sylvatica","Fagus","Fagaceae"
"Falcaria vulgaris","Falcaria","Apiaceae"
"Fallopia baldschuanica","Fallopia","Polygonaceae"
"Fallopia convolvulus","Fallopia","Polygonaceae"
"Fallopia dumetorum","Fallopia","Polygonaceae"
"Fascicularia bicolor","Fascicularia","Bromeliaceae"
"Fedia graciliflora","Fedia","Caprifoliaceae"
"Ferula arrigonii","Ferula","Apiaceae"
"Ferula communis","Ferula","Apiaceae"
"Ferula glauca","Ferula","Apiaceae"
"Ferulago campestris","Ferulago","Apiaceae"
"Festuca acuminata","Festuca","Poaceae"
"Festuca alfrediana","Festuca","Poaceae"
"Festuca alpina","Festuca","Poaceae"
"Festuca amethystina","Festuca","Poaceae"
"Festuca arenaria","Festuca","Poaceae"
"Festuca armoricana","Festuca","Poaceae"
"Festuca arvernensis","Festuca","Poaceae"
"Festuca auquieri","Festuca","Poaceae"
"Festuca billyi","Festuca","Poaceae"
"Festuca borderei","Festuca","Poaceae"
"Festuca breistrofferi","Festuca","Poaceae"
"Festuca brevipila","Festuca","Poaceae"
"Festuca burgundiana","Festuca","Poaceae"
"Festuca chasii","Festuca","Poaceae"
"Festuca christiani-bernardi","Festuca","Poaceae"
"Festuca cinerea","Festuca","Poaceae"
"Festuca cyrnea","Festuca","Poaceae"
"Festuca duvalii","Festuca","Poaceae"
"Festuca eskia","Festuca","Poaceae"
"Festuca fabrei","Festuca","Poaceae"
"Festuca filiformis","Festuca","Poaceae"
"Festuca flavescens","Festuca","Poaceae"
"Festuca gamisansii","Festuca","Poaceae"
"Festuca gautieri","Festuca","Poaceae"
"Festuca glacialis","Festuca","Poaceae"
"Festuca glauca","Festuca","Poaceae"
"Festuca halleri","Festuca","Poaceae"
"Festuca heteroidea","Festuca","Poaceae"
"Festuca heteromalla","Festuca","Poaceae"
"Festuca heteropachys","Festuca","Poaceae"
"Festuca heterophylla","Festuca","Poaceae"
"Festuca huonii","Festuca","Poaceae"
"Festuca inops","Festuca","Poaceae"
"Festuca intercedens","Festuca","Poaceae"
"Festuca juncifolia","Festuca","Poaceae"
"Festuca laevigata","Festuca","Poaceae"
"Festuca lahonderei","Festuca","Poaceae"
"Festuca lemanii","Festuca","Poaceae"
"Festuca longifolia","Festuca","Poaceae"
"Festuca marginata","Festuca","Poaceae"
"Festuca melanopsis","Festuca","Poaceae"
"Festuca microphylla","Festuca","Poaceae"
"Festuca nigrescens","Festuca","Poaceae"
"Festuca occitanica","Festuca","Poaceae"
"Festuca ochroleuca","Festuca","Poaceae"
"Festuca ovina","Festuca","Poaceae"
"Festuca pallens","Festuca","Poaceae"
"Festuca patzkei","Festuca","Poaceae"
"Festuca plonkae","Festuca","Poaceae"
"Festuca prudhommei","Festuca","Poaceae"
"Festuca pumila","Festuca","Poaceae"
"Festuca pyrenaica","Festuca","Poaceae"
"Festuca rivularis","Festuca","Poaceae"
"Festuca rubra","Festuca","Poaceae"
"Festuca rupicola","Festuca","Poaceae"
"Festuca sardoa","Festuca","Poaceae"
"Festuca scabriculmis","Festuca","Poaceae"
"Festuca trichophylla","Festuca","Poaceae"
"Festuca valesiaca","Festuca","Poaceae"
"Festuca vasconcensis","Festuca","Poaceae"
"Festuca violacea","Festuca","Poaceae"
"Festuca yvesii","Festuca","Poaceae"
"Fibigia clypeata","Fibigia","Brassicaceae"
"Ficaria verna","Ficaria","Ranunculaceae"
"Ficus carica","Ficus","Moraceae"
"Filago arvensis","Filago","Asteraceae"
"Filago carpetana","Filago","Asteraceae"
"Filago gaditana","Filago","Asteraceae"
"Filago germanica","Filago","Asteraceae"
"Filago lutescens","Filago","Asteraceae"
"Filago neglecta","Filago","Asteraceae"
"Filago pygmaea","Filago","Asteraceae"
"Filago pyramidata","Filago","Asteraceae"
"Filago tyrrhenica","Filago","Asteraceae"
"Filipendula ulmaria","Filipendula","Rosaceae"
"Filipendula vulgaris","Filipendula","Rosaceae"
"Fimbristylis bisumbellata","Fimbristylis","Cyperaceae"
"Foeniculum vulgare","Foeniculum","Apiaceae"
"Fourraea alpina","Fourraea","Brassicaceae"
"Fragaria moschata","Fragaria","Rosaceae"
"Fragaria vesca","Fragaria","Rosaceae"
"Fragaria viridis","Fragaria","Rosaceae"
"Frangula alnus","Frangula","Rhamnaceae"
"Frankenia composita","Frankenia","Frankeniaceae"
"Frankenia hirsuta","Frankenia","Frankeniaceae"
"Frankenia laevis","Frankenia","Frankeniaceae"
"Frankenia pulverulenta","Frankenia","Frankeniaceae"
"Fraxinus angustifolia","Fraxinus","Oleaceae"
"Fraxinus excelsior","Fraxinus","Oleaceae"
"Fraxinus ornus","Fraxinus","Oleaceae"
"Fraxinus pennsylvanica","Fraxinus","Oleaceae"
"Freesia alba","Freesia","Iridaceae"
"Fritillaria burnatii","Fritillaria","Liliaceae"
"Fritillaria imperialis","Fritillaria","Liliaceae"
"Fritillaria involucrata","Fritillaria","Liliaceae"
"Fritillaria meleagris","Fritillaria","Liliaceae"
"Fritillaria moggridgei","Fritillaria","Liliaceae"
"Fritillaria montana","Fritillaria","Liliaceae"
"Fritillaria pyrenaica","Fritillaria","Liliaceae"
"Fritillaria tubiformis","Fritillaria","Liliaceae"
"Fuirena pubescens","Fuirena","Cyperaceae"
"Fumana ericifolia","Fumana","Cistaceae"
"Fumana ericoides","Fumana","Cistaceae"
"Fumana juniperina","Fumana","Cistaceae"
"Fumana laevipes","Fumana","Cistaceae"
"Fumana procumbens","Fumana","Cistaceae"
"Fumana thymifolia","Fumana","Cistaceae"
"Fumana laevis","Fumana","Cistaceae"
"Fumaria bastardii","Fumaria","Papaveraceae"
"Fumaria bicolor","Fumaria","Papaveraceae"
"Fumaria capreolata","Fumaria","Papaveraceae"
"Fumaria densiflora","Fumaria","Papaveraceae"
"Fumaria flabellata","Fumaria","Papaveraceae"
"Fumaria barnolae","Fumaria","Papaveraceae"
"Fumaria kralikii","Fumaria","Papaveraceae"
"Fumaria muralis","Fumaria","Papaveraceae"
"Fumaria officinalis","Fumaria","Papaveraceae"
"Fumaria parviflora","Fumaria","Papaveraceae"
"Fumaria petteri","Fumaria","Papaveraceae"
"Fumaria schleicheri","Fumaria","Papaveraceae"
"Fumaria vaillantii","Fumaria","Papaveraceae"
"Gagea apulica","Gagea","Liliaceae"
"Gagea bohemica","Gagea","Liliaceae"
"Gagea liottardii","Gagea","Liliaceae"
"Gagea granatelli","Gagea","Liliaceae"
"Gagea lacaitae","Gagea","Liliaceae"
"Gagea luberonensis","Gagea","Liliaceae"
"Gagea lusitanica","Gagea","Liliaceae"
"Gagea lutea","Gagea","Liliaceae"
"Gagea minima","Gagea","Liliaceae"
"Gagea polidorii","Gagea","Liliaceae"
"Gagea pomeranica","Gagea","Liliaceae"
"Gagea pratensis","Gagea","Liliaceae"
"Gagea reverchonii","Gagea","Liliaceae"
"Gagea serotina","Gagea","Liliaceae"
"Gagea soleirolii","Gagea","Liliaceae"
"Gagea spathacea","Gagea","Liliaceae"
"Gagea villosa","Gagea","Liliaceae"
"Galactites duriaei","Galactites","Asteraceae"
"Galactites tomentosus","Galactites","Asteraceae"
"Galanthus nivalis","Galanthus","Amaryllidaceae"
"Galatella linosyris","Galatella","Asteraceae"
"Galatella sedifolia","Galatella","Asteraceae"
"Galega officinalis","Galega","Fabaceae"
"Galega orientalis","Galega","Fabaceae"
"Galeopsis angustifolia","Galeopsis","Lamiaceae"
"Galeopsis bifida","Galeopsis","Lamiaceae"
"Galeopsis ladanum","Galeopsis","Lamiaceae"
"Galeopsis sulfurea","Galeopsis","Lamiaceae"
"Galeopsis pyrenaica","Galeopsis","Lamiaceae"
"Galeopsis reuteri","Galeopsis","Lamiaceae"
"Galeopsis segetum","Galeopsis","Lamiaceae"
"Galeopsis speciosa","Galeopsis","Lamiaceae"
"Galeopsis tetrahit","Galeopsis","Lamiaceae"
"Galinsoga parviflora","Galinsoga","Asteraceae"
"Galinsoga quadriradiata","Galinsoga","Asteraceae"
"Galium album","Galium","Rubiaceae"
"Galium anisophyllon","Galium","Rubiaceae"
"Galium aparine","Galium","Rubiaceae"
"Galium arenarium","Galium","Rubiaceae"
"Galium aristatum","Galium","Rubiaceae"
"Galium atrovirens","Galium","Rubiaceae"
"Galium boreale","Galium","Rubiaceae"
"Galium caprarium","Galium","Rubiaceae"
"Galium cespitosum","Galium","Rubiaceae"
"Galium cinereum","Galium","Rubiaceae"
"Galium cometorhizon","Galium","Rubiaceae"
"Galium corrudifolium","Galium","Rubiaceae"
"Galium corsicum","Galium","Rubiaceae"
"Galium debile","Galium","Rubiaceae"
"Galium divaricatum","Galium","Rubiaceae"
"Galium elongatum","Galium","Rubiaceae"
"Galium estebanii","Galium","Rubiaceae"
"Galium fleurotii","Galium","Rubiaceae"
"Galium glaucum","Galium","Rubiaceae"
"Galium laevigatum","Galium","Rubiaceae"
"Galium lucidum","Galium","Rubiaceae"
"Galium maritimum","Galium","Rubiaceae"
"Galium megalospermum","Galium","Rubiaceae"
"Galium minutulum","Galium","Rubiaceae"
"Galium mollugo","Galium","Rubiaceae"
"Galium murale","Galium","Rubiaceae"
"Galium neglectum","Galium","Rubiaceae"
"Galium obliquum","Galium","Rubiaceae"
"Galium odoratum","Galium","Rubiaceae"
"Galium palustre","Galium","Rubiaceae"
"Galium papillosum","Galium","Rubiaceae"
"Galium parisiense","Galium","Rubiaceae"
"Galium pseudohelveticum","Galium","Rubiaceae"
"Galium pumilum","Galium","Rubiaceae"
"Galium pusillum","Galium","Rubiaceae"
"Galium pyrenaicum","Galium","Rubiaceae"
"Galium rotundifolium","Galium","Rubiaceae"
"Galium rubioides","Galium","Rubiaceae"
"Galium saxatile","Galium","Rubiaceae"
"Galium saxosum","Galium","Rubiaceae"
"Galium scabrum","Galium","Rubiaceae"
"Galium setaceum","Galium","Rubiaceae"
"Galium spurium","Galium","Rubiaceae"
"Galium sylvaticum","Galium","Rubiaceae"
"Galium tendae","Galium","Rubiaceae"
"Galium timeroyi","Galium","Rubiaceae"
"Galium tricornutum","Galium","Rubiaceae"
"Galium trifidum","Galium","Rubiaceae"
"Galium triflorum","Galium","Rubiaceae"
"Galium uliginosum","Galium","Rubiaceae"
"Galium verrucosum","Galium","Rubiaceae"
"Galium verticillatum","Galium","Rubiaceae"
"Galium verum","Galium","Rubiaceae"
"Gamochaeta antillana","Gamochaeta","Asteraceae"
"Gasparrinia peucedanoides","Gasparrinia","Apiaceae"
"Gastridium phleoides","Gastridium","Poaceae"
"Gastridium scabrum","Gastridium","Poaceae"
"Gastridium ventricosum","Gastridium","Poaceae"
"Gaudinia fragilis","Gaudinia","Poaceae"
"Gazania rigens","Gazania","Asteraceae"
"Genista aetnensis","Genista","Fabaceae"
"Genista anglica","Genista","Fabaceae"
"Genista ausetana","Genista","Fabaceae"
"Genista cinerea","Genista","Fabaceae"
"Genista corsica","Genista","Fabaceae"
"Genista delphinensis","Genista","Fabaceae"
"Genista ephedroides","Genista","Fabaceae"
"Genista florida","Genista","Fabaceae"
"Genista germanica","Genista","Fabaceae"
"Genista hispanica","Genista","Fabaceae"
